"","code","descriptor"
"1","000","World"
"2","004","Afghanistan"
"3","008","Albania"
"4","010","Antarctica"
"5","012","Algeria"
"6","016","American Samoa"
"7","020","Andorra"
"8","024","Angola"
"9","028","Antigua and Barbuda"
"10","031","Azerbaijan"
"11","032","Argentina"
"12","036","Australia"
"13","040","Austria"
"14","044","Bahamas"
"15","048","Bahrain"
"16","050","Bangladesh"
"17","051","Armenia"
"18","052","Barbados"
"19","056","Belgium"
"20","060","Bermuda"
"21","064","Bhutan"
"22","068","Bolivia, Plurinational State of"
"23","070","Bosnia and Herzegovina"
"24","072","Botswana"
"25","074","Bouvet Island"
"26","076","Brazil"
"27","084","Belize"
"28","086","British Indian Ocean Territory"
"29","090","Solomon Islands"
"30","092","Virgin Islands, British"
"31","096","Brunei Darussalam"
"32","100","Bulgaria"
"33","104","Myanmar"
"34","108","Burundi"
"35","112","Belarus"
"36","116","Cambodia"
"37","120","Cameroon"
"38","124","Canada"
"39","132","Cape Verde"
"40","136","Cayman Islands"
"41","140","Central African Republic"
"42","144","Sri Lanka"
"43","148","Chad"
"44","152","Chile"
"45","156","China"
"46","158","Taiwan, Province of China"
"47","162","Christmas Island"
"48","166","Cocos (Keeling) Islands"
"49","170","Colombia"
"50","174","Comoros"
"51","175","Mayotte"
"52","178","Congo"
"53","180","Congo, the Democratic Republic of the"
"54","184","Cook Islands"
"55","188","Costa Rica"
"56","191","Croatia"
"57","192","Cuba"
"58","196","Cyprus"
"59","203","Czechia"
"60","204","Benin"
"61","208","Denmark"
"62","212","Dominica"
"63","214","Dominican Republic"
"64","218","Ecuador"
"65","222","El Salvador"
"66","226","Equatorial Guinea"
"67","231","Ethiopia"
"68","232","Eritrea"
"69","233","Estonia"
"70","234","Faroe Islands"
"71","238","Falkland Islands (Malvinas)"
"72","239","South Georgia and the South Sandwich Islands"
"73","242","Fiji"
"74","246","Finland"
"75","248","Aland Islands"
"76","250","France"
"77","254","French Guiana"
"78","258","French Polynesia"
"79","260","French Southern Territories"
"80","262","Djibouti"
"81","266","Gabon"
"82","268","Georgia"
"83","270","Gambia"
"84","275","Palestinian Territory, Occupied"
"85","276","Germany"
"86","288","Ghana"
"87","292","Gibraltar"
"88","296","Kiribati"
"89","300","Greece"
"90","304","Greenland"
"91","308","Grenada"
"92","312","Guadeloupe"
"93","316","Guam"
"94","320","Guatemala"
"95","324","Guinea"
"96","328","Guyana"
"97","332","Haiti"
"98","334","Heard Island and McDonald Islands"
"99","336","Holy See (Vatican City State)"
"100","340","Honduras"
"101","344","Hong Kong"
"102","348","Hungary"
"103","352","Iceland"
"104","356","India"
"105","360","Indonesia"
"106","364","Iran, Islamic Republic of"
"107","368","Iraq"
"108","372","Ireland"
"109","376","Israel"
"110","380","Italy"
"111","384","Cote d'Ivoire"
"112","388","Jamaica"
"113","392","Japan"
"114","398","Kazakhstan"
"115","400","Jordan"
"116","404","Kenya"
"117","408","Korea, Democratic People's Republic of"
"118","410","Korea, Republic of"
"119","414","Kuwait"
"120","417","Kyrgyzstan"
"121","418","Lao People's Democratic Republic"
"122","422","Lebanon"
"123","426","Lesotho"
"124","428","Latvia"
"125","430","Liberia"
"126","434","Libyan Arab Jamahiriya"
"127","438","Liechtenstein"
"128","440","Lithuania"
"129","442","Luxembourg"
"130","446","Macao"
"131","450","Madagascar"
"132","454","Malawi"
"133","458","Malaysia"
"134","462","Maldives"
"135","466","Mali"
"136","470","Malta"
"137","474","Martinique"
"138","478","Mauritania"
"139","480","Mauritius"
"140","484","Mexico"
"141","492","Monaco"
"142","496","Mongolia"
"143","498","Moldova"
"144","499","Montenegro"
"145","500","Montserrat"
"146","504","Morocco"
"147","508","Mozambique"
"148","512","Oman"
"149","516","Namibia"
"150","520","Nauru"
"151","524","Nepal"
"152","528","Netherlands"
"153","531","Curacao"
"154","533","Aruba"
"155","534","Sint Maarten (Dutch part)"
"156","535","Bonaire, Saint Eustatius and Saba"
"157","540","New Caledonia"
"158","548","Vanuatu"
"159","554","New Zealand"
"160","558","Nicaragua"
"161","562","Niger"
"162","566","Nigeria"
"163","570","Niue"
"164","574","Norfolk Island"
"165","578","Norway"
"166","580","Northern Mariana Islands"
"167","581","United States Minor Outlying Islands"
"168","583","Micronesia, Federated States of"
"169","584","Marshall Islands"
"170","585","Palau"
"171","586","Pakistan"
"172","591","Panama"
"173","598","Papua New Guinea"
"174","600","Paraguay"
"175","604","Peru"
"176","608","Philippines"
"177","612","Pitcairn"
"178","616","Poland"
"179","620","Portugal"
"180","624","Guinea-Bissau"
"181","626","Timor-Leste"
"182","630","Puerto Rico"
"183","634","Qatar"
"184","638","Reunion"
"185","642","Romania"
"186","643","Russian Federation"
"187","646","Rwanda"
"188","654","Saint Helena, Ascension and Tristan da Cunha"
"189","659","Saint Kitts and Nevis"
"190","660","Anguilla"
"191","662","Saint Lucia"
"192","666","Saint Pierre and Miquelon"
"193","670","Saint Vincent and the Grenadines"
"194","674","San Marino"
"195","678","Sao Tome and Principe"
"196","682","Saudi Arabia"
"197","686","Senegal"
"198","688","Serbia"
"199","690","Seychelles"
"200","694","Sierra Leone"
"201","702","Singapore"
"202","703","Slovakia"
"203","704","Viet Nam"
"204","705","Slovenia"
"205","706","Somalia"
"206","710","South Africa"
"207","716","Zimbabwe"
"208","724","Spain"
"209","728","South Sudan"
"210","732","Western Sahara"
"211","736","Sudan"
"212","740","Suriname"
"213","744","Svalbard and Jan Mayen"
"214","748","Swaziland"
"215","752","Sweden"
"216","756","Switzerland"
"217","760","Syrian Arab Republic"
"218","762","Tajikistan"
"219","764","Thailand"
"220","768","Togo"
"221","772","Tokelau"
"222","776","Tonga"
"223","780","Trinidad and Tobago"
"224","784","United Arab Emirates"
"225","788","Tunisia"
"226","792","Turkey"
"227","795","Turkmenistan"
"228","796","Turks and Caicos Islands"
"229","798","Tuvalu"
"230","800","Uganda"
"231","804","Ukraine"
"232","807","Macedonia, the Former Yugoslav Republic of"
"233","818","Egypt"
"234","826","United Kingdom"
"235","831","Guernsey"
"236","832","Jersey"
"237","833","Isle of Man"
"238","834","Tanzania, United Republic of"
"239","840","United States"
"240","850","Virgin Islands, US"
"241","854","Burkina Faso"
"242","858","Uruguay"
"243","860","Uzbekistan"
"244","862","Venezuela, Bolivarian Republic of"
"245","876","Wallis and Futuna"
"246","882","Samoa"
"247","887","Yemen"
"248","894","Zambia"
"249","BLM","Saint Barthelemy"
"250","MAF","Saint Martin (French Part)"
